Date,Product,Category,Price,Quantity Sold,Total Sales
24-11-2025,Mouse,Electronics,633.5,5,3167.5
06-05-2025,Shoes,Fashion,2319.77,2,4639.54
13-12-2025,Jeans,Fashion,1941.18,2,3882.36
30-10-2025,Milk,Grocery,49.85,2,99.7
22-04-2025,Shoes,Fashion,,1,2502.68
15-10-2025,Shoes,Fashion,2608.01,9,23472.09
03-08-2025,Shoes,Fashion,2474.6,5,12373
04-01-2025,Bread,Grocery,42.45,7,297.15
24-06-2025,T-Shirt,Fashion,744.88,6,4469.28
22-02-2025,Mouse,Electronics,683.19,6,4099.14
26-06-2025,Bag,Accessories,1143.49,1,1143.49
24-08-2025,Headphones,Electronics,2774.9,7,19424.3
10-02-2025,Headphones,Electronics,2875.91,10,28759.1
05-07-2025,Bag,Accessories,1126.15,2,2252.3
24-01-2025,Watch,Accessories,3309.53,5,16547.65
10-02-2025,Tablet,Electronics,23663.95,2,47327.9
14-07-2025,T-Shirt,Fashion,792.55,6,4755.3
25-03-2025,Rice,Grocery,58.26,5,
26-12-2025,Speaker,Electronics,4665.19,2,9330.38
08-11-2025,Watch,Accessories,3269.8,4,13079.2
25-03-2025,Phone,Electronics,19517.82,9,175660.38
23-04-2025,Watch,Accessories,3377,1,3377
28-04-2025,Tablet,Electronics,22660.5,6,135963
25-07-2025,T-Shirt,Fashion,730.59,10,7305.9
11-06-2025,Shoes,Fashion,2577.72,7,18044.04
26-11-2025,Phone,Electronics,18571.49,3,55714.47
07-05-2025,Jeans,,1822.09,5,9110.45
27-10-2025,Milk,Grocery,59.38,7,415.66
05-07-2025,Shoes,Fashion,2748.66,3,8245.98
18-09-2025,Phone,Electronics,18363.64,1,18363.64
26-02-2025,Keyboard,Electronics,1538.23,7,10767.61
02-11-2025,Mouse,Electronics,683.87,10,6838.7
28-08-2025,Headphones,Electronics,2850.85,9,25657.65
06-01-2025,Watch,Accessories,3654.51,9,32890.59
17-05-2025,Bread,Grocery,41.13,2,82.26
31-05-2025,Milk,Grocery,51.24,1,51.24
15-05-2025,Headphones,Electronics,3157.18,9,28414.62
24-02-2025,Tablet,Electronics,25626.5,9,230638.5
08-11-2025,Shoes,Fashion,2326.42,3,6979.26
