date,location,total_cases,new_deaths,stringency_index
01-01-2020,Germany,15895,319,8.409822447
,India,960,225,32.64335765
03-01-2020,Germany,,442,55.98443123
04-01-2020,USA,54986,439,11.58438568
05-01-2020,USA,6365,,37.6695362
06-01-2020,Japan,82486,364,
07-01-2020,Germany,37294,453,81.86794205
08-01-2020,Germany,87598,228,12.84487181
09-01-2020,,44231,376,28.33429483
10-01-2020,Brazil,60363,288,1.842771874
11-01-2020,France,16123,,43.22407839
12-01-2020,India,41190,149,84.01215027
13-01-2020,Japan,67321,276,39.21512114
14-01-2020,India,64920,197,17.94973234
15-01-2020,USA,869,69,75.36988341
16-01-2020,India,59835,111,78.88069819
17-01-2020,Japan,63055,3,17.37534753
18-01-2020,Germany,65025,349,77.08541085
19-01-2020,Japan,68069,330,94.72978883
20-01-2020,Germany,5411,445,16.63775869
21-01-2020,India,83204,317,77.09842925
22-01-2020,France,53807,349,70.85720046
23-01-2020,India,85405,94,
24-01-2020,,28793,151,5.792046056
25-01-2020,USA,72032,310,7.469441776
26-01-2020,France,93116,136,85.24146592
27-01-2020,Japan,25758,246,99.01483728
28-01-2020,USA,84578,386,67.60522572
29-01-2020,Germany,18531,242,44.5958307
30-01-2020,Brazil,2847,,64.75736434
31-01-2020,Japan,59250,39,59.43958592
01-02-2020,Brazil,65825,228,
02-02-2020,Japan,84754,35,6.562614457
03-02-2020,USA,35873,407,82.15129474
04-02-2020,India,67535,222,37.18335292
05-02-2020,USA,56986,5,81.87856434
06-02-2020,Germany,66903,321,25.25087497
07-02-2020,India,31651,467,0.102947985
08-02-2020,Germany,11494,219,15.89382833
,India,,74,46.85394168
10-02-2020,Brazil,3990,3,94.4303635
11-02-2020,Germany,41706,334,10.21936197
12-02-2020,Japan,96376,133,85.42097745
13-02-2020,Germany,80138,117,52.70240962
14-02-2020,India,87413,368,82.59207658
15-02-2020,India,10727,93,29.8374431
16-02-2020,Germany,8892,485,83.99471647
17-02-2020,France,74069,434,77.282278
18-02-2020,Japan,43101,61,23.0053683
19-02-2020,France,76652,440,
20-02-2020,USA,23997,193,86.80543225
21-02-2020,France,68248,334,96.32366534
22-02-2020,Japan,23583,202,3.130231375
23-02-2020,India,48655,391,73.1270067
24-02-2020,Japan,17259,25,90.95245109
25-02-2020,Japan,80177,434,85.73600921
26-02-2020,USA,36020,172,96.45204723
,USA,92167,299,76.00940784
28-02-2020,Germany,67221,132,44.22987624
,India,69579,,31.19519905
01-03-2020,Japan,89575,409,32.07427404
02-03-2020,France,,117,72.44226726
03-03-2020,USA,66657,323,74.5837012
04-03-2020,India,77289,274,20.03591435
05-03-2020,France,79053,211,
06-03-2020,USA,53095,224,71.49240402
07-03-2020,,,19,56.27502863
08-03-2020,Germany,9792,112,47.15324601
09-03-2020,Japan,45858,139,54.32328058
10-03-2020,Germany,72509,46,15.92457383
11-03-2020,USA,71311,0,20.37012493
12-03-2020,India,65797,,9.116449041
13-03-2020,France,37165,141,
14-03-2020,Germany,92193,319,45.36936346
15-03-2020,India,99399,37,53.03543937
16-03-2020,USA,32706,292,1.786189248
17-03-2020,Germany,11634,381,79.67978279
18-03-2020,Brazil,94763,138,29.41679733
19-03-2020,Germany,40497,355,91.1836035
20-03-2020,France,91487,332,96.75112636
21-03-2020,Brazil,1116,490,18.54588747
22-03-2020,Brazil,89889,258,46.20972908
23-03-2020,Japan,55691,160,
24-03-2020,USA,89912,389,59.83272651
,USA,23347,177,60.73064483
26-03-2020,Brazil,24400,,24.75399556
27-03-2020,France,74165,260,55.84126726
28-03-2020,USA,82898,406,22.55401424
29-03-2020,USA,9368,137,16.08254691
30-03-2020,France,86907,171,65.15194668
31-03-2020,France,12285,,32.5925464
01-04-2020,Brazil,,12,59.02639389
02-04-2020,Brazil,86879,167,43.3246749
03-04-2020,France,39199,129,98.43514074
04-04-2020,Brazil,8671,83,14.95806427
05-04-2020,Germany,38144,320,46.45985966
06-04-2020,Japan,51314,318,68.04566264
07-04-2020,India,61328,100,39.55450839
08-04-2020,Germany,49084,328,97.46998519
09-04-2020,Japan,40874,272,72.18876279
10-04-2020,,2668,264,65.69838576
11-04-2020,Brazil,62692,458,75.70592676
12-04-2020,USA,67663,398,95.2648638
13-04-2020,Japan,2795,407,
14-04-2020,,48290,37,72.42853081
15-04-2020,,5358,418,74.91616391
16-04-2020,Japan,87638,,14.5922074
17-04-2020,Japan,39604,94,10.27924045
18-04-2020,France,33259,304,57.09045018
,Germany,14086,68,1.836763694
20-04-2020,Japan,61958,317,48.23563816
21-04-2020,Japan,12766,443,21.03495799
22-04-2020,Brazil,38760,235,34.60165676
23-04-2020,France,,433,77.58047358
24-04-2020,Brazil,26954,333,
25-04-2020,France,64605,372,7.241627215
26-04-2020,Brazil,52351,375,53.4242206
27-04-2020,Germany,22762,458,88.25334858
28-04-2020,Japan,8492,136,8.250853444
29-04-2020,India,30635,417,82.45140469
30-04-2020,France,78703,75,35.78013509
01-05-2020,Japan,52356,482,32.20947022
02-05-2020,Japan,89235,34,97.74663863
03-05-2020,USA,35322,0,
04-05-2020,USA,77473,295,69.31939408
05-05-2020,Germany,79675,319,82.1440728
06-05-2020,France,96454,405,4.118349528
07-05-2020,Brazil,84751,59,67.03854584
,Brazil,63435,319,95.15499744
,France,11065,348,12.42199667
10-05-2020,India,24638,327,
11-05-2020,USA,70692,266,59.47766374
12-05-2020,Germany,98118,,61.66045819
13-05-2020,Brazil,8210,228,61.29441749
14-05-2020,Germany,79409,269,29.88358863
15-05-2020,Brazil,27366,315,
16-05-2020,India,53092,285,94.73504626
17-05-2020,USA,83048,,62.53046602
18-05-2020,India,98906,212,78.34227259
19-05-2020,Japan,7010,164,61.22579859
20-05-2020,Germany,91082,4,48.43984476
21-05-2020,Brazil,306,338,66.08201183
22-05-2020,India,87154,378,55.30014526
23-05-2020,France,87997,77,59.74758626
24-05-2020,Germany,23519,,78.38325534
25-05-2020,Brazil,50736,61,48.09038314
26-05-2020,Brazil,50115,131,4.075410609
27-05-2020,USA,54368,88,16.3999481
28-05-2020,France,88039,236,43.86072165
,Germany,18241,41,72.48265599
,France,80456,88,59.32786483
31-05-2020,Brazil,72010,401,65.02941859
01-06-2020,USA,56144,295,47.92789286
02-06-2020,France,67314,327,61.57420219
03-06-2020,Japan,,294,32.90174378
04-06-2020,Japan,55920,103,47.01825927
05-06-2020,USA,62723,13,74.42790656
06-06-2020,Japan,,287,87.1832779
07-06-2020,Germany,75550,,43.3655334
08-06-2020,Brazil,93526,,4.366165771
,Brazil,22399,421,16.16725441
10-06-2020,Brazil,43685,352,2.086113929
11-06-2020,France,64144,22,65.32630192
12-06-2020,Germany,42657,62,33.23146254
13-06-2020,Brazil,49180,142,54.24786357
14-06-2020,India,2793,480,49.32768468
15-06-2020,Japan,,,8.152648955
16-06-2020,Brazil,95359,144,40.32613611
17-06-2020,Brazil,69263,224,22.05611249
18-06-2020,France,26039,,41.83997887
19-06-2020,USA,49025,449,20.35782803
20-06-2020,France,43041,461,84.04524063
21-06-2020,Japan,21934,308,17.41933366
22-06-2020,Germany,,103,96.07805515
23-06-2020,Germany,26205,103,41.59073661
24-06-2020,France,75866,434,84.6245292
25-06-2020,France,15807,38,62.87648182
26-06-2020,Japan,22076,434,73.53502987
27-06-2020,India,,197,76.77238881
28-06-2020,France,23876,,50.48448819
29-06-2020,Japan,30180,66,54.33005234
30-06-2020,Brazil,66942,390,51.39958678
01-07-2020,Germany,61473,178,58.80583781
02-07-2020,Brazil,6876,455,2.939444576
03-07-2020,India,92887,41,39.55151698
04-07-2020,India,55116,447,60.61887136
05-07-2020,India,9574,499,59.77235653
06-07-2020,India,58153,14,79.29560946
,India,22059,110,65.50093388
08-07-2020,Japan,5630,156,
09-07-2020,Japan,94956,288,28.38545286
10-07-2020,India,3848,499,35.91510297
11-07-2020,Germany,97604,477,38.38471519
12-07-2020,Brazil,98198,230,46.5812807
13-07-2020,India,13645,410,83.59980638
14-07-2020,Germany,66299,419,23.5792094
15-07-2020,India,34866,156,77.6000207
16-07-2020,Germany,73630,37,40.53101831
,USA,93657,440,60.18553837
18-07-2020,India,61187,96,63.25405332
19-07-2020,Japan,95939,484,37.28486372
20-07-2020,Japan,68940,410,51.26152052
21-07-2020,Japan,54484,438,41.30311746
22-07-2020,Japan,51105,288,6.913278619
23-07-2020,India,46676,253,43.71653888
24-07-2020,USA,39453,195,9.739339255
25-07-2020,Brazil,62103,85,40.50207991
26-07-2020,France,83311,321,59.29183998
27-07-2020,Brazil,52833,9,57.94148993
28-07-2020,USA,65418,4,66.2621279
29-07-2020,France,89574,122,9.526150795
30-07-2020,USA,23764,329,65.21232455
31-07-2020,Germany,,352,31.21480567
01-08-2020,USA,85716,117,39.90459461
02-08-2020,Germany,93364,293,85.79862539
03-08-2020,USA,26836,396,0.903040413
04-08-2020,Japan,94309,158,58.84126333
05-08-2020,Germany,954,302,59.87139801
06-08-2020,India,90184,227,39.66597763
07-08-2020,USA,38723,364,23.70278571
08-08-2020,Japan,7492,215,23.46740383
09-08-2020,Japan,,435,
10-08-2020,Germany,46817,183,44.20243738
11-08-2020,Japan,87192,14,33.0889363
,Brazil,50959,156,44.87775738
13-08-2020,,26409,135,66.93904015
