PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,Passenger 1,male,15,4,0,TKT10001,149.6,,S
2,0,1,Passenger 2,female,,2,2,TKT10002,47.99,C87,S
3,0,2,Passenger 3,male,,4,2,TKT10003,162.39,,Q
4,0,2,Passenger 4,female,,3,2,TKT10004,197.12,,Q
5,0,3,Passenger 5,female,22,0,1,TKT10005,36.86,C103,Q
6,1,1,Passenger 6,female,41,1,1,TKT10006,132.81,,
7,0,1,Passenger 7,male,,3,0,TKT10007,22.73,,
8,1,3,Passenger 8,female,2,0,2,TKT10008,137.93,,Q
9,0,1,Passenger 9,female,,1,0,TKT10009,169.13,,S
10,0,1,Passenger 10,female,40,0,1,TKT10010,16.3,,C
11,1,2,Passenger 11,female,28,0,1,TKT10011,144.03,, s 
12,1,1,Passenger 12,male,8,2,3,TKT10012,18.14,,
13,1,2,Passenger 13,male,13,0,0,TKT10013,133.5,,S
14,0,2,Passenger 14,male,55,0,0,TKT10014,59.32,C61,C
15,1,2,Passenger 15,female,8,3,3,TKT10015,78.9,,S
16,0,1,Passenger 16,male,8,1,0,TKT10016,118.91,,C
17,1,2,Passenger 17,male,75,2,1,TKT10017,125.78,,Q
18,0,1,Passenger 18,male,,4,2,TKT10018,126.13,,S
19,0,3,Passenger 19,female,,0,1,TKT10019,124.28,C142,C
20,0,1,Passenger 20,female,,2,0,TKT10020,,C68,C
21,0,3,Passenger 21,male,2,2,1,TKT10021,19.67,,Q
22,1,3,Passenger 22,female,46,4,1,TKT10022,138,,C
23,1,3,Passenger 23,male,4,2,1,TKT10023,148.63,,S
24,0,1,Passenger 24,male,,1,3,TKT10024,64.51,C72,Q
25,1,1,Passenger 25,female,,0,0,TKT10025,188.15,,Q
26,0,3,Passenger 26,male,74,2,3,TKT10026,54.67,,Q
27,1,3,Passenger 27,male,,1,3,TKT10027,135.04,,C
28,1,2,Passenger 28,female,,3,1,TKT10028,60.95,C44,S
29,0,1,Passenger 29,male,12,0,1,TKT10029,136.2,,S
30,0,1,Passenger 30,female,,1,1,TKT10030,82.93,,
31,1,2,Passenger 31,female,59,4,3,TKT10031,161.28,C122,
32,0,3,Passenger 32,female,,1,2,TKT10032,127.22,C21,C
33,1,2,Passenger 33,male,28,1,3,TKT10033,85.9,C6,
34,0,2,Passenger 34,male,,2,3,TKT10034,109.95,,
35,0,1,Passenger 35,female,80,1,3,TKT10035,181.85,,Q
36,1,1,Passenger 36,female,,0,0,TKT10036,151.64,,S
37,0,1,Passenger 37,female,32,0,1,TKT10037,168.65,,Q
38,0,2,Passenger 38,female,15,3,1,TKT10038,193.12,,C
39,0,2,Passenger 39,female,77,2,0,TKT10039,160.26,,
40,1,3,Passenger 40,female,59,3,3,TKT10040,89.92,,Q
41,1,2,Passenger 41,male,58,3,2,TKT10041,151.34,,Q
42,0,3,Passenger 42,female,36,3,1,TKT10042,105.74,, s 
43,1,3,Passenger 43,female,52,3,2,TKT10043,64.71,,Q
44,1,3,Passenger 44, Male ,16,0,1,TKT10044,42.35,,Q
45,1,1,Passenger 45,male,,4,2,TKT10045,141,,C
46,0,1,Passenger 46,male,15,4,2,TKT10046,83.14,,
47,1,2,Passenger 47,male,,4,0,TKT10047,92.85,,C
48,1,2,Passenger 48,male,71,1,2,TKT10048,35.52,C117,S
49,0,2,Passenger 49,male,76,0,0,TKT10049,87.9,,Q
50,0,3,Passenger 50,male,,3,2,TKT10050,102.59,,C
51,0,2,Passenger 51,female,,2,1,TKT10051,117.37,,
52,1,2,Passenger 52,female,42,4,0,TKT10052,172.26,,Q
53,1,3,Passenger 53,female,,3,0,TKT10053,85.58,,Q
54,0,3,Passenger 54,female,78,0,1,TKT10054,143.41,C119,S
55,1,1,Passenger 55,female,,4,1,TKT10055,86.02,C131,C
56,0,2,Passenger 56,female,,4,3,TKT10056,187.18,,
57,0,3,Passenger 57,female,,1,3,TKT10057,174.57,C98,
58,1,1,Passenger 58,female,,0,3,TKT10058,,,C
59,1,2,Passenger 59,female,,4,0,TKT10059,131.72,,Q
60,0,1,Passenger 60,female,13,0,2,TKT10060,91.52,,C
61,0,2,Passenger 61,male,22,1,3,TKT10061,20.4,,S
62,1,3,Passenger 62,female,70,2,3,TKT10062,19.4,,
63,1,2,Passenger 63,male,,4,0,TKT10063,198.57,C74,C
64,0,3,Passenger 64,male,,0,2,TKT10064,137.16,,Q
65,1,3,Passenger 65,female,54,1,2,TKT10065,44.15,C76,Q
