SalesID,Date,Year,Product,Region,CustomerID,Quantity,Sales,Revenue,Profit
1001,2022-08-17,2022,HDD,South,C001,1,72597,76709,4112
1002,2022-07-29,2022,Tablet,North,C002,18,23290,33064,9774
1003,2022-03-03,2022,Power Bank,Central,C003,3,57814,61725,3911
1004,2022-02-24,2022,Tablet,South,C004,18,52624,61652,9028
1005,2024-07-08,2024,Webcam,West,C005,19,73426,73632,206
1006,2023-11-28,2023,Graphics Card,North,C006,9,41258,44885,3627
1007,2022-07-09,2022,Speaker,Central,C007,13,25853,31834,5981
1008,2023-06-26,2023,Monitor,West,C008,2,120935,129820,8885
1009,2022-06-11,2022,Projector,South,C009,18,77354,83379,6025
1010,2022-05-23,2022,Keyboard,South,C010,2,60242,65083,4841
1011,2022-07-26,2022,Speaker,,C011,13,73369,80897,7528
1012,2024-01-29,2024,Keyboard,Central,C012,12,55421,59895,4474
1013,2022-12-17,2022,Smartphone,West,C013,18,64675,67452,2777
1014,2023-07-07,2023,Mouse,South,C014,18,58070,63483,5413
1015,2022-03-07,2022,Keyboard,South,C015,11,105662,110148,4486
1016,2023-10-07,2023,Smartphone,South,C016,7,131370,137952,6582
1017,2023-06-27,2023,USB Drive,East,C017,5,65151,74448,9297
1018,2024-05-27,2024,HDD,South,C018,19,105200,111230,6030
1019,2024-11-09,2024,Monitor,South,C019,16,24331,25202,871
1020,2022-11-24,2022,Router,Central,C020,14,17153,23557,6404
1021,2024-08-16,2024,Laptop,North,C021,17,66406,75570,9164
1022,2023-07-01,2023,Tablet,South,C022,11,29742,34650,4908
1023,2024-07-18,2024,Webcam,Central,C023,1,69545,77846,8301
1024,2022-08-06,2022,Printer,East,C024,10,133580,136938,3358
1025,2022-11-27,2022,Scanner,East,C025,18,139529,139638,109
1026,2024-09-27,2024,Processor,,C026,1,29825,,6047
1027,2022-04-29,2022,Keyboard,West,C027,8,149229,150619,1390
1028,2022-05-22,2022,Headphone,Central,C028,18,33467,35670,2203
1029,2022-12-05,2022,SSD,Central,C029,9,138826,145858,7032
1030,2023-02-16,2023,Smartphone,Central,C030,10,105093,111311,6218
1031,2024-07-13,2024,Keyboard,East,C031,4,65486,69267,3781
1032,2022-02-13,2022,Projector,South,C032,19,145707,149577,3870
1033,2022-01-15,2022,Keyboard,North,C033,3,15933,19783,3850
1034,2023-11-08,2023,RAM,West,C034,3,135282,139281,3999
1035,2023-03-15,2023,Projector,West,C035,18,35184,44639,9455
1036,2023-05-13,2023,Monitor,North,C036,16,107208,110427,3219
1037,2024-06-01,2024,Smartphone,North,C037,12,111538,118373,6835
1038,2022-07-21,2022,Monitor,South,C038,2,106044,111703,5659
1039,2023-01-28,2023,Printer,West,C039,7,141084,148534,7450
1040,2023-01-11,2023,Keyboard,West,C040,9,121775,125967,4192
