SalesID,Date,Year,Product,Region,CustomerID,Quantity,Sales,Revenue,Profit
1501,24-11-2025,2025,Printer,South,C501,8,30184,30693,509
1502,13-03-2025,2025,Mouse,Central,C502,14,27868,36903,9035
1503,17-01-2025,2025,Monitor,South,C503,17,8811,10446,1635
1504,05-11-2025,2025,Monitor,Central,C504,14,7956,17251,
1505,23-04-2025,2025,Printer,North,C505,6,118757,128511,9754
1506,24-12-2025,2025,Printer,South,C506,7,111785,117459,5674
1507,22-06-2025,2025,Webcam,North,C507,12,27793,29412,1619
1508,26-06-2025,2025,Speaker,Central,C508,4,70342,71153,811
1509,13-07-2025,2025,Printer,Central,C509,12,21656,30800,9144
1510,23-10-2025,2025,Laptop,South,C510,10,51407,52646,1239
1511,10-02-2025,2025,Webcam,East,C511,15,62024,63778,1754
1512,22-11-2025,2025,Tablet,East,C512,7,96638,99402,2764
1513,10-12-2025,2025,Power Bank,South,C513,18,70986,72255,1269
1514,06-05-2025,2025,Webcam,East,C514,18,43834,51507,7673
1515,23-04-2025,2025,Monitor,North,C515,11,86008,87024,1016
1516,25-07-2025,2025,Monitor,Central,C516,11,71186,72370,1184
1517,19-04-2025,2025,Speaker,South,C517,9,131870,138452,6582
1518,13-03-2025,2025,SSD,East,C518,19,65651,74948,9297
1519,08-08-2025,2025,Monitor,South,C519,17,105700,111730,6030
1520,10-09-2025,2025,Mouse,South,C520,6,24831,25702,871
1521,15-12-2025,2025,Mouse,West,C521,13,111666,121537,9871
1522,02-11-2025,2025,Printer,Central,C522,1,123696,132465,8769
1523,15-12-2025,2025,Printer,East,C523,4,31029,39926,8897
1524,31-05-2025,2025,Speaker,North,C524,9,114971,117662,2691
1525,14-09-2025,2025,Mouse,East,C525,17,47832,56249,8417
1526,08-11-2025,2025,Tablet,South,C526,18,53143,55747,2604
1527,29-09-2025,2025,Tablet,West,C527,1,1149,11062,9913
1528,27-02-2025,2025,Monitor,North,C528,8,96153,101291,5138
1529,18-10-2025,2025,Speaker,North,C529,,,23148,1503
1530,06-03-2025,2025,SSD,South,C530,9,34657,42544,7887
1531,28-09-2025,2025,SSD,South,C531,10,111923,115493,3570
1532,24-07-2025,2025,SSD,West,C532,4,98889,106166,7277
1533,07-05-2025,2025,Tablet,North,C533,19,59903,61052,1149
1534,11-10-2025,2025,Monitor,North,C534,3,61323,71064,9741
1535,29-12-2025,2025,Mouse,North,C535,11,16433,,3850
1536,06-02-2025,2025,Printer,West,C536,7,135782,139781,3999
1537,04-10-2025,2025,Power Bank,West,C537,8,35684,45139,9455
1538,31-08-2025,2025,Mouse,North,C538,14,107708,110927,3219
1539,01-07-2025,2025,Speaker,North,C539,4,112038,118873,6835
1540,01-02-2025,2025,Mouse,South,C540,7,106544,112203,5659
1541,08-04-2025,2025,Keyboard,West,C541,6,141584,149034,7450
1542,23-05-2025,2025,Mouse,West,C542,18,122275,126467,4192
1543,20-02-2025,2025,Laptop,North,C543,8,14261,23217,8956
1544,27-03-2025,2025,Speaker,South,C544,13,107539,115595,8056
1545,31-01-2025,2025,Laptop,West,C545,9,44158,50467,6309
1546,21-08-2025,2025,SSD,West,C546,5,75776,82806,7030
1547,08-04-2025,2025,Laptop,Central,C547,18,78780,82446,3666
1548,01-02-2025,2025,Laptop,Central,C548,16,83209,84245,1036
1549,15-09-2025,2025,Laptop,Central,C549,3,140231,142910,2679
1550,06-04-2025,2025,Mouse,South,C550,13,18962,28811,9849
1551,03-03-2025,2025,Power Bank,North,C551,20,65543,75128,9585
1552,11-02-2025,2025,Power Bank,Central,C552,11,110897,120559,9662
1553,14-05-2025,2025,Monitor,East,C553,13,54545,59792,5247
1554,09-03-2025,2025,Tablet,North,C554,1,79642,87233,7591
1555,23-08-2025,2025,Mouse,Central,C555,7,148585,150323,1738
1556,17-09-2025,2025,Tablet,North,C556,8,70520,,2270
1557,09-07-2025,2025,Speaker,Central,C557,10,75707,78391,2684
1558,10-11-2025,2025,SSD,East,C558,4,139658,139886,228
1559,10-03-2025,2025,Mouse,Central,C559,5,70328,72319,1991
1560,20-05-2025,2025,Tablet,South,C560,9,74860,78410,3550
1561,16-09-2025,2025,Laptop,North,C561,14,129065,133279,4214
1562,22-05-2025,2025,Tablet,South,C562,9,12557,12715,158
1563,24-03-2025,2025,Webcam,Central,C563,1,,125962,
1564,27-02-2025,2025,SSD,North,C564,12,20724,23266,2542
1565,26-10-2025,2025,Webcam,South,C565,2,145841,148367,2526
1566,07-06-2025,2025,Tablet,South,C566,8,96591,97344,753
1567,08-12-2025,2025,SSD,West,C567,20,27946,33840,5894
1568,21-03-2025,2025,Keyboard,West,C568,1,63059,65821,2762
1569,02-04-2025,2025,,East,C569,6,88080,94925,6845
1570,26-12-2025,2025,Laptop,,C570,8,29336,35703,6367
1571,13-04-2025,2025,Printer,South,C571,8,121665,127493,5828
1572,13-01-2025,2025,Tablet,East,C572,3,51627,58255,6628
1573,23-05-2025,2025,Webcam,Central,C573,11,93050,101496,8446
1574,15-01-2025,2025,Keyboard,Central,C574,9,31236,35615,4379
1575,20-01-2025,2025,Webcam,East,C575,11,29417,39291,9874
1576,12-08-2025,2025,Webcam,Central,C576,7,135066,137060,1994
1577,11-05-2025,2025,Laptop,Central,C577,18,12635,19879,7244
1578,18-12-2025,2025,Webcam,North,C578,,52651,58718,6067
1579,16-11-2025,2025,Printer,Central,C579,10,83291,85432,2141
1580,08-12-2025,2025,Webcam,East,C580,18,108057,113501,5444
1581,07-03-2025,2025,Webcam,South,C581,20,51289,58277,6988
1582,19-10-2025,2025,SSD,North,C582,10,79892,86645,6753
1583,27-05-2025,2025,Power Bank,Central,C583,11,56098,63241,7143
1584,27-08-2025,2025,Monitor,Central,C584,16,116811,124155,7344
1585,28-03-2025,2025,SSD,Central,C585,11,23228,27977,4749
1586,17-02-2025,2025,Monitor,South,C586,5,62569,67754,5185
1587,13-01-2025,2025,Speaker,Central,C587,3,13114,17225,4111
1588,22-08-2025,2025,Monitor,West,C588,16,109643,119174,9531
1589,24-07-2025,2025,Laptop,North,C589,14,64959,67476,2517
1590,23-04-2025,2025,Speaker,North,C590,18,47107,55693,8586
1591,08-05-2025,2025,Keyboard,West,C591,17,32813,40391,7578
1592,14-10-2025,2025,Power Bank,Central,C592,14,84177,91528,7351
1593,08-10-2025,2025,Speaker,West,C593,9,117893,120600,2707
1594,07-05-2025,2025,Speaker,South,C594,9,73695,82335,8640
1595,14-08-2025,2025,Monitor,,C595,11,21311,26092,4781
1596,13-06-2025,2025,,South,C596,8,142597,144017,1420
1597,16-07-2025,2025,Mouse,West,C597,14,41056,44661,3605
1598,19-06-2025,2025,Webcam,North,C598,7,143242,150975,7733
1599,04-08-2025,2025,Laptop,Central,C599,13,103099,112768,9669
1600,02-09-2025,2025,Printer,West,C600,14,2545,8408,5863
